GP,W,D,L,F,A,GD,P,Team,Year,PPG
34,13,8,13,42,41,+1,47,5 SKC Sporting Kansas City,2016,
34,12,10,12,44,46,-2,46,6 RSL Real Salt Lake,2016,
34,12,8,14,48,53,-5,44,7 POR Portland Timbers,2016,
34,10,9,15,45,52,-7,39,8 VAN Vancouver Whitecaps,2016,
34,8,14,12,32,40,-8,38,9 SJ San Jose Earthquakes,2016,
34,7,13,14,39,45,-6,34,10 HOU Houston Dynamo FC,2016,
34,20,9,5,74,37,+37,69,1 TOR Toronto FC,2017,
34,16,9,9,56,43,+13,57,2 NYC New York City FC,2017,
34,16,7,11,61,47,+14,55,3 CHI Chicago Fire FC,2017,
34,15,10,9,70,40,+30,55,4 ATL Atlanta United FC,2017,
